user_id,segment,total_orders,total_spend,cancellation_rate,total_events,viewed_products,completed_orders
U000001,1,1.0,1392.89,0.0,5.0,5.0,0.0
U000002,3,4.0,1808.15,0.0,7.0,7.0,0.0
U000003,3,3.0,1153.01,0.3333333333333333,11.0,11.0,2.0
U000004,3,3.0,7620.84,0.3333333333333333,5.0,5.0,0.0
U000005,0,1.0,12.66,1.0,5.0,5.0,0.0
U000006,3,6.0,9952.28,0.16666666666666666,4.0,4.0,1.0
U000007,1,0.0,0.0,0.0,8.0,8.0,0.0
U000008,1,2.0,1520.91,0.0,8.0,8.0,0.0
U000009,0,1.0,1297.61,1.0,9.0,8.0,0.0
U000010,3,5.0,1631.68,0.4,6.0,6.0,1.0
U000011,2,2.0,1050.88,0.0,11.0,11.0,0.0
U000012,0,2.0,635.59,0.5,6.0,6.0,0.0
U000013,2,1.0,193.29,0.0,11.0,11.0,0.0
U000014,2,1.0,223.9,0.0,9.0,9.0,0.0
U000015,1,0.0,0.0,0.0,6.0,6.0,0.0
U000016,1,1.0,954.86,0.0,4.0,4.0,1.0
U000017,0,1.0,479.8,1.0,12.0,12.0,0.0
U000018,1,1.0,27.08,0.0,6.0,6.0,0.0
U000019,1,2.0,341.53000000000003,0.0,8.0,8.0,1.0
U000020,1,3.0,521.96,0.0,6.0,6.0,0.0
U000021,1,4.0,390.65,0.25,5.0,5.0,0.0
U000022,3,3.0,2098.0299999999997,0.0,10.0,10.0,1.0
U000023,3,5.0,6134.9,0.0,6.0,6.0,1.0
U000024,2,1.0,148.16,0.0,9.0,9.0,1.0
U000025,0,2.0,858.9200000000001,0.5,8.0,8.0,0.0
U000026,2,2.0,511.53,0.0,11.0,11.0,1.0
U000027,1,1.0,1125.55,0.0,5.0,5.0,0.0
U000028,2,0.0,0.0,0.0,13.0,13.0,0.0
U000029,1,1.0,247.1,0.0,8.0,8.0,0.0
U000030,0,1.0,584.32,1.0,7.0,7.0,0.0
U000031,1,2.0,1235.96,0.0,6.0,6.0,1.0
U000032,3,4.0,4739.04,0.5,8.0,8.0,0.0
U000033,1,0.0,0.0,0.0,4.0,4.0,0.0
U000034,0,3.0,751.77,0.3333333333333333,9.0,9.0,0.0
U000035,3,5.0,4178.87,0.0,6.0,6.0,1.0
U000036,3,4.0,4910.55,0.25,6.0,6.0,0.0
U000037,0,2.0,895.9300000000001,0.5,5.0,5.0,1.0
U000038,3,4.0,4346.73,0.25,10.0,10.0,2.0
U000039,2,1.0,133.71,0.0,9.0,9.0,0.0
U000040,0,1.0,1098.99,1.0,6.0,6.0,0.0
U000041,2,1.0,881.41,0.0,9.0,9.0,0.0
U000042,0,5.0,1216.75,0.4,8.0,8.0,0.0
U000043,0,2.0,733.6899999999999,0.5,6.0,6.0,0.0
U000044,3,4.0,4098.35,0.5,5.0,5.0,1.0
U000045,1,0.0,0.0,0.0,4.0,4.0,0.0
U000046,3,3.0,1716.68,0.0,10.0,10.0,1.0
U000047,0,2.0,2936.69,0.5,9.0,8.0,0.0
U000048,1,3.0,1989.77,0.0,6.0,6.0,0.0
U000049,1,1.0,1821.99,0.0,4.0,4.0,0.0
U000050,1,1.0,1953.62,0.0,8.0,8.0,0.0
U000051,1,2.0,774.78,0.0,6.0,6.0,0.0
U000052,2,1.0,566.53,0.0,10.0,10.0,0.0
U000053,0,3.0,659.86,0.3333333333333333,6.0,6.0,0.0
U000054,1,0.0,0.0,0.0,5.0,5.0,0.0
U000055,3,2.0,3151.65,0.0,8.0,8.0,0.0
U000056,0,4.0,840.08,0.25,7.0,7.0,0.0
U000057,2,1.0,369.87,0.0,10.0,10.0,0.0
U000058,1,0.0,0.0,0.0,7.0,7.0,0.0
U000059,0,2.0,1608.03,0.5,8.0,8.0,0.0
U000060,2,2.0,1192.3700000000001,0.5,14.0,14.0,0.0
U000061,0,1.0,378.6,1.0,8.0,8.0,0.0
U000062,2,1.0,189.79,0.0,9.0,9.0,0.0
U000063,2,1.0,483.6,0.0,10.0,10.0,0.0
U000064,1,1.0,704.05,0.0,7.0,7.0,0.0
U000065,1,1.0,37.9,0.0,6.0,5.0,0.0
U000066,1,2.0,144.57,0.0,5.0,5.0,1.0
U000067,0,2.0,470.63,0.5,8.0,8.0,0.0
U000068,2,2.0,423.17999999999995,0.0,9.0,9.0,0.0
U000069,1,1.0,688.64,0.0,6.0,6.0,0.0
U000070,0,3.0,4528.58,0.6666666666666666,12.0,12.0,0.0
U000071,0,2.0,346.90999999999997,0.5,6.0,6.0,0.0
U000072,2,1.0,247.88,0.0,9.0,9.0,0.0
U000073,1,1.0,323.24,0.0,4.0,4.0,0.0
U000074,0,1.0,2571.53,1.0,6.0,6.0,0.0
U000075,1,0.0,0.0,0.0,6.0,6.0,0.0
U000076,0,1.0,82.64,1.0,7.0,7.0,0.0
U000077,2,2.0,304.5,0.0,10.0,10.0,1.0
U000078,3,4.0,2131.08,0.0,3.0,3.0,1.0
U000079,0,4.0,542.65,0.5,8.0,8.0,0.0
U000080,1,1.0,276.29,0.0,8.0,8.0,0.0
U000081,1,2.0,766.73,0.0,5.0,5.0,1.0
U000082,3,4.0,3462.52,0.0,5.0,5.0,1.0
U000083,3,4.0,3190.13,0.25,9.0,9.0,1.0
U000084,3,4.0,3012.96,0.25,5.0,5.0,0.0
U000085,3,1.0,3003.15,0.0,9.0,9.0,1.0
U000086,2,1.0,30.81,0.0,9.0,9.0,1.0
U000087,1,2.0,578.89,0.0,5.0,5.0,1.0
